url,title,brand_name,product_type,volume_weight,short_description,old_price,current_price
https://www.guardian.com.vn/mat-na-duong-am-cho-da-bnbg-hydrating-vita-genic-30ml.html,Măt Nạ Dưỡng Ẩm Vitamin E BNBG Vita Hydrating Jelly Mask 30ml,BNBG,Mặt nạ,30ml,"Măt Nạ Dưỡng Ẩm Vitamin E BNBG Vita Hydrating Jelly Mask 30ml  Xếp hạng: 100 % of 100 	1  Đánh giá Thương hiệu:BNBG SKU 3018713  18,000  - Giá ưu đãi Hội Cam  -38 % Tham gia Hội Cam ngay 18,000₫ 29,000₫ -38 % So sánh Phân loại: Dưỡng Ẩm Hóa Đơn Từ 1....",29,18
https://www.guardian.com.vn/gel-rua-mat-giup-lam-sach-va-thong-thoang-lo-chan-long-danh-cho-da-dau-mun-svr-sebiaclear-gel-moussant-55ml.html,Gel Rửa Mặt Giúp Làm Sạch Và Thông Thoáng Lỗ Chân Lông Dành Cho Da Dầu Mụn SVR Sebiaclear Gel Moussant 55ml,SVR,Sữa rửa mặt,55ml,"Gel Rửa Mặt Giúp Làm Sạch Và Thông Thoáng Lỗ Chân Lông Dành Cho Da Dầu Mụn SVR Sebiaclear Gel Moussant 55ml Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:SVR SKU 3019611 142,000₫ So sánh Phân loại: 55ml Hóa Đơn SVR Từ 299k Tặng 1 SVR GEL RỬA MẶT KHÔNG...",142,142
https://www.guardian.com.vn/tay-trang-mat-moi-silkygirl-gentle-eye-lip-makeup-remover-110ml.html,Tẩy Trang Mắt Môi Gentle Eye & Lip Makeup Remover Silkygirl 110Ml,SILKYGIRL,Tẩy trang,110Ml,"Tẩy Trang Mắt Môi Gentle Eye & Lip Makeup Remover Silkygirl 110Ml Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:SILKYGIRL SKU 3016334 132,000₫ 165,000₫ -20 % So sánh Phân loại: 110ml Hóa Đơn Từ 1.999k Tặng 1 Túi Tò He Xinh Xắn | 24.9 - 28.10 Áp dụng 2...",165,132
https://www.guardian.com.vn/tinh-chat-senka-duong-am-chuyen-sau-va-ngua-lao-hoa-30ml-deep-moist-3x-ha-serum.html,Serum Senka Deep Moist 3X Ha Cấp Ẩm Chuyên Sâu & Cải Thiện Nếp Nhăn 30Ml,SENKA,Serum/Tinh chất,30Ml,"Serum Senka Deep Moist 3X Ha Cấp Ẩm Chuyên Sâu & Cải Thiện Nếp Nhăn 30Ml Xếp hạng: 100 % of 100 	1  Đánh giá Thương hiệu:SENKA SKU 3024630 361,000₫ 451,000₫ -20 % So sánh Phân loại: Tinh Chất Dưỡng Ẩm Tặng 1 Móc Khóa Senka | 24.9 - 28.10 Áp dụng 24 t...",451,361
https://www.guardian.com.vn/mat-na-tinh-chat-rau-ma-bio-essence-20ml.html,Mặt Nạ Tinh Chất Rau Má Bio-essence 25ml,BIO ESSENCE,Mặt nạ,25ml,"Mặt Nạ Tinh Chất Rau Má Bio-essence 25ml Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:BIO ESSENCE SKU 3024764 40,000₫ So sánh Phân loại: Rau Má Hóa Đơn Từ 1.999k Tặng 1 Túi Tò He Xinh Xắn | 24.9 - 28.10 Áp dụng 29 thg 9, 2025 - 28 thg 10, 2025 [Hàng ...",40,40
https://www.guardian.com.vn/tinh-chat-giam-tham-nam-dom-nau-cho-da-tuoi-sang-deu-mau-danh-cho-moi-loai-da-liftactiv-specialist-b3-serum-vichy.html,Serum Giúp Cải Thiện & Ngăn Ngừa Thâm Nám Đốm Nâu Toàn Diện Vichy Liftactiv B3 Dark Spots Serum 30Ml,VICHY,Serum/Tinh chất,30Ml,"Serum Giúp Cải Thiện & Ngăn Ngừa Thâm Nám Đốm Nâu Toàn Diện Vichy Liftactiv B3 Dark Spots Serum 30Ml Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:VICHY SKU 3025291 1,280,000₫ So sánh Hóa Đơn Từ 1.999k Tặng 1 Túi Tò He Xinh Xắn | 24.9 - 28.10 Áp dụng ...","1,280,000","1,280,000"
https://www.guardian.com.vn/tinh-chat-pond-s-bright-beauty-3d-glow-serum-30g.html,Serum Dưỡng Sáng Đa Tầng Ban Ngày Pond'S Bright Miracle Mờ Thâm Sạm Với 50X Niasorcinol 30Gr,POND'S,Serum/Tinh chất,30G,"Serum Dưỡng Sáng Đa Tầng Ban Ngày Pond'S Bright Miracle Mờ Thâm Sạm Với 50X Niasorcinol 30Gr Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:POND'S SKU 3025065 259,000 So sánh Hóa Đơn Từ 1.999k Tặng 1 Túi Tò He Xinh Xắn | 24.9 - 28.10 Áp dụng 29 thg 9, ...",259,259
https://www.guardian.com.vn/kem-duong-trang-da-cho-ng-na-ng-ban-ngay-senka-white-beauty-uv-cream-spf25-pa-50g.html,Kem Dưỡng Sáng Da Chống Nắng Ban Ngày Senka White Beauty Uv Cream Spf25 Pa++ 50Gr,SENKA,Kem chống nắng,50G,"Kem Dưỡng Sáng Da Chống Nắng Ban Ngày Senka White Beauty Uv Cream Spf25 Pa++ 50Gr Xếp hạng: 100 % of 100 	1  Đánh giá Thương hiệu:SENKA SKU 3019862 265,000₫ So sánh Phân loại: Dưỡng Sáng Ban Ngày Hóa Đơn SENKA Từ 159K Tặng 1 TRAVEL KIT BAG | 24.9 -...",265,265
https://www.guardian.com.vn/sua-rua-mat-tao-bot-ho-tro-sang-da-eucerin-spotless-brightening-gentle-cleansing-foam-50g.html,Sữa Rửa Mặt Hỗ Trợ Sáng Da Tạo Bọt Eucerin Spotless Brightening 50G,EUCERIN,Sữa rửa mặt,50G,"Sữa Rửa Mặt Hỗ Trợ Sáng Da Tạo Bọt Eucerin Spotless Brightening 50G Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:EUCERIN SKU 3025074 159,000₫ 199,000₫ -20 % So sánh Phân loại: 50g Hóa Đơn Từ 1.999k Tặng 1 Túi Tò He Xinh Xắn | 24.9 - 28.10 Áp dụng 29 ...",199,159
https://www.guardian.com.vn/mat-na-avif-biocell-chong-lao-hoa-23g.html,Mặt Nạ Biocell Giúp Ngừa Lão Hoá Avif 23Gr,AVIF,Mặt nạ,23G,"Mặt Nạ Biocell Giúp Ngừa Lão Hoá Avif 23Gr Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:AVIF SKU 3018561 30,000₫ So sánh Phân loại: Ngừa Lão Hóa Hóa Đơn Từ 1.999k Tặng 1 Túi Tò He Xinh Xắn | 24.9 - 28.10 Áp dụng 29 thg 9, 2025 - 28 thg 10, 2025 [Hàng...",30,30
